City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
119,anadyr,64.75,177.4833,-23.72,76,20,2.0,RU,1707254197
120,marica,-22.9194,-42.8186,28.97,88,75,2.29,BR,1707254409
121,east london,-33.0153,27.9116,23.96,87,100,6.87,ZA,1707254187
122,anloga,5.7947,0.8973,27.21,68,9,4.78,GH,1707254308
123,chabahar,25.2919,60.643,21.57,52,76,8.16,IR,1707254409
124,carnarvon,-24.8667,113.6333,29.53,33,6,8.02,AU,1707254293
125,yeppoon,-23.1333,150.7333,26.88,83,48,5.7,AU,1707254409
126,bel ombre,-4.6167,55.4167,27.91,74,20,2.06,SC,1707254410
127,new norfolk,-42.7826,147.0587,14.72,67,93,1.84,AU,1707254348
128,ephraim,39.3597,-111.5863,9.89,51,81,4.11,US,1707254410
129,puerto escondido,15.85,-97.0667,27.46,69,75,4.12,MX,1707254410
130,taourirt,34.4073,-2.8973,14.56,38,0,1.5,MA,1707254410
131,bankim,6.083,11.4905,24.05,26,92,2.14,CM,1707254410
132,vrangel',42.7297,133.0839,-8.88,65,0,5.37,RU,1707254410
133,pacific grove,36.6177,-121.9166,15.24,74,0,4.12,US,1707254410
134,kegeyli shahar,42.7767,59.6078,3.05,68,96,10.5,UZ,1707254411
135,puerto ayora,-0.7393,-90.3518,28.98,77,68,4.9,EC,1707254411
136,urucara,-2.5364,-57.76,34.64,43,69,1.78,BR,1707254411
137,kourou,5.1552,-52.6478,26.03,89,69,4.72,GF,1707254411
138,ushuaia,-54.8,-68.3,17.81,42,0,2.57,AR,1707254047
139,ulladulla,-35.35,150.4667,15.77,70,14,4.78,AU,1707254411
140,arraial do cabo,-22.9661,-42.0278,27.98,78,75,3.09,BR,1707254286
141,kumbhraj,24.3667,77.05,15.27,55,30,3.46,IN,1707254411
142,naze,28.3667,129.4833,12.51,78,100,4.79,JP,1707254218
143,nyurba,63.2842,118.3319,-29.29,99,100,1.1,RU,1707254291
144,rio preto da eva,-2.6994,-59.6997,31.47,62,77,1.46,BR,1707254236
145,bredasdorp,-34.5322,20.0403,21.6,64,10,6.21,ZA,1707254200
146,gadzhiyevo,69.2551,33.3362,-18.04,99,97,5.07,RU,1707254237
147,kingston,17.997,-76.7936,28.53,52,75,9.26,JM,1707254183
148,thompson,55.7435,-97.8558,-17.91,71,75,4.63,CA,1707254209
149,el calafate,-50.3408,-72.2768,16.52,49,29,2.77,AR,1707254322
150,bethel,41.3712,-73.414,5.2,52,17,1.79,US,1707254192
151,santa ana,33.7456,-117.8678,12.4,92,100,2.57,US,1707253833
152,bechar,31.6167,-2.2167,11.18,28,0,1.54,DZ,1707254412
153,ar rutbah,33.0381,40.2848,10.33,57,1,2.52,IQ,1707254412
154,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,84,75,3.0,RU,1707254208
155,vilyuysk,63.7553,121.6247,-29.44,100,99,0.45,RU,1707254256
156,dhuusamarreeb,5.535,46.3861,26.19,65,99,6.17,SO,1707254413
157,afaahiti,-17.75,-149.2833,28.93,84,99,7.94,PF,1707254243
158,tura,25.5198,90.2201,13.35,92,0,0.67,IN,1707254216
159,vorkuta,67.5,64.0,-25.41,98,96,1.52,RU,1707254249
160,san julian,21.0167,-102.1667,23.82,9,0,2.19,MX,1707254413
161,tiksi,71.6872,128.8694,-24.49,99,98,2.69,RU,1707254194
162,christchurch,-43.5333,172.6333,23.63,72,97,4.63,NZ,1707254346
163,beypazari,40.1675,31.9211,7.33,62,11,0.13,TR,1707254413
164,znamenskoye,57.1281,73.8282,-6.44,93,90,3.79,RU,1707254413
165,inari,68.906,27.0288,-20.89,100,80,2.05,FI,1707254413
166,enewetak,11.3474,162.3373,26.51,81,59,7.5,MH,1707254203
167,illapel,-31.6308,-71.1653,27.15,50,0,3.86,CL,1707254172
168,trashi yangtse,27.6116,91.498,3.68,86,91,2.1,BT,1707254414
169,siyabuswa,-25.1132,29.0445,24.76,31,0,1.1,ZA,1707254414
170,saudarkrokur,65.7461,-19.6394,-1.93,75,82,6.95,IS,1707254414
171,kaspiyskiy,45.3929,47.3707,0.81,70,74,6.56,RU,1707254414
172,st. john's,47.5649,-52.7093,0.64,96,100,12.96,CA,1707254172
173,burang,30.25,81.1667,-17.3,53,24,0.92,CN,1707254414
174,tromso,69.6496,18.957,-5.99,93,75,5.14,NO,1707254419
175,jamestown,42.097,-79.2353,6.12,51,0,2.57,US,1707254229
176,kenai,60.5544,-151.2583,-6.97,93,100,1.54,US,1707254271
177,luanda,-8.8368,13.2343,27.0,89,75,2.57,AO,1707254217
178,puchezh,56.9788,43.1676,-22.56,100,58,3.24,RU,1707254419
179,ola,59.5833,151.2833,-23.11,85,98,4.09,RU,1707254209
180,usogorsk,63.4106,48.6872,-28.52,100,98,0.47,RU,1707254315
181,cuajinicuilapa,16.4667,-98.4167,30.68,46,0,5.15,MX,1707254420
182,mhamid,29.82,-5.72,14.23,27,99,1.22,MA,1707254420
183,mhangura,-16.8939,30.1683,19.75,87,78,1.14,ZW,1707254421
184,potam,27.6,-110.3833,25.1,32,100,7.01,MX,1707254421
185,westport,41.1415,-73.3579,5.99,54,0,3.13,US,1707254249
186,johi,26.6921,67.6133,18.14,43,98,3.86,PK,1707254421
187,holualoa,19.6228,-155.9522,23.91,66,20,4.63,US,1707254422
188,ust'-ilimsk,58.0006,102.6619,-10.31,97,96,2.24,RU,1707254422
189,kasongo-lunda,-6.4667,16.8167,21.58,96,55,0.58,CD,1707254317
190,amga,60.8953,131.9608,-37.47,100,99,0.38,RU,1707254422
191,cabo san lucas,22.8909,-109.9124,28.12,59,20,4.63,MX,1707254080
192,port elizabeth,-33.918,25.5701,23.39,89,75,8.75,ZA,1707254204
193,sandnessjoen,66.0217,12.6316,-5.88,79,75,3.6,NO,1707254268
194,saipan,15.1355,145.701,24.39,69,20,3.6,MP,1707254116
195,la passe,45.5549,-0.8967,10.55,92,98,4.54,FR,1707254215
196,constantia,44.1833,28.65,9.38,57,34,5.37,RO,1707254225
197,crucecita,-28.95,-58.9833,31.8,46,42,6.67,AR,1707254423
198,gaozhou,21.9392,110.8461,17.68,85,99,2.35,CN,1707254423
199,rongelap,11.1635,166.8941,26.54,80,99,6.45,MH,1707254316
200,sao vicente,-23.9631,-46.3919,29.59,57,0,4.02,BR,1707254244
201,mount pearl,47.5166,-52.7813,0.18,96,100,5.36,CA,1707254271
202,port alfred,-33.5906,26.891,20.66,95,97,0.89,ZA,1707254234
203,zeya,53.75,127.2667,-24.17,99,100,0.69,RU,1707254250
204,valchedram,43.6964,23.4447,11.58,56,100,2.25,BG,1707254424
205,xilin hot,43.9667,116.0333,-22.93,99,17,2.39,CN,1707254424
206,port lincoln,-34.7333,135.8667,16.08,78,5,3.38,AU,1707254193
207,nabire,-3.3667,135.4833,24.83,88,100,0.73,ID,1707254424
208,weno,7.4515,151.8468,26.97,74,40,5.14,FM,1707254278
209,kisangani,0.5167,25.2,25.84,50,49,0.64,CD,1707254424
210,biswan,27.5,81.0,10.11,53,39,4.01,IN,1707254425
211,hadibu,12.65,54.0333,24.59,73,5,3.74,YE,1707254266
212,ust-nera,64.5667,143.2,-32.6,89,100,0.33,RU,1707254186
213,bongor,10.2806,15.3722,26.2,15,78,4.6,TD,1707254425
214,yulinshi,38.2906,109.7494,-8.82,81,36,2.79,CN,1707254425
215,avarua,-21.2078,-159.775,30.03,74,75,6.17,CK,1707254195
216,becej,45.6163,20.0333,9.93,80,95,3.5,RS,1707254425
217,bu'aale,1.0833,42.5833,25.8,85,100,4.69,SO,1707254425
218,princeville,45.7668,-61.2985,0.89,88,100,4.02,CA,1707254425
219,portland,45.5234,-122.6762,11.16,86,75,1.54,US,1707253700
220,isola di capo rizzuto,38.96,17.0933,12.17,73,25,1.58,IT,1707254426
221,nova sintra,14.8667,-24.7167,21.2,72,0,3.39,CV,1707254204
222,edd,13.9297,41.6925,24.87,81,52,5.16,ER,1707254426
223,tazovsky,67.4667,78.7,-14.85,97,98,3.82,RU,1707254191
224,bocas del toro,9.3333,-82.25,24.47,82,39,5.13,PA,1707254426
225,sao jose,-28.2333,-49.1667,24.02,98,100,1.05,BR,1707254400
226,ironwood,46.4547,-90.171,9.19,40,20,4.63,US,1707254278
227,barcelos,41.5388,-8.6151,13.08,93,55,1.87,PT,1707254426
228,katabu,-4.9333,122.5167,24.32,93,60,0.71,ID,1707254426
229,deniliquin,-35.5333,144.9667,14.06,62,0,5.57,AU,1707254427
230,wailua homesteads,22.0669,-159.378,25.24,71,100,6.69,US,1707254201
231,conde,-7.2597,-34.9075,28.7,74,20,3.6,BR,1707254427
232,palenque,17.5167,-91.9667,23.09,64,40,2.57,MX,1707254427
233,nago,26.5881,127.9761,18.47,80,100,3.45,JP,1707254427
234,howrah,22.5892,88.3103,22.0,88,75,0.0,IN,1707254264
235,ketchikan,55.3422,-131.6461,2.99,80,100,0.0,US,1707254257
236,mandan,46.8267,-100.8896,2.99,100,100,3.09,US,1707254427
237,mildura,-34.2,142.15,13.37,64,0,5.43,AU,1707253840
238,minas de marcona,-15.2119,-75.1103,21.84,79,87,4.78,PE,1707254217
239,ispir,40.4829,40.9956,1.83,95,96,3.7,TR,1707254428
240,richards bay,-28.783,32.0377,21.48,86,0,2.66,ZA,1707254428
241,achikulak,44.5517,44.8378,0.58,99,100,3.37,RU,1707254428
242,ouesso,1.6136,16.0517,25.19,42,72,0.32,CG,1707254428
243,nguigmi,14.2495,13.1092,20.51,23,86,7.15,NE,1707254428
244,kapa'a,22.0752,-159.319,25.99,71,100,6.69,US,1707254218
245,ishigaki,24.3448,124.1572,20.07,83,100,3.6,JP,1707254429
246,jutai,-5.1833,-68.9,23.52,98,100,1.52,BR,1707254429
247,merizo village,13.2658,144.6691,25.85,90,100,7.02,GU,1707254429
248,sardinata,8.0829,-72.8007,34.46,74,67,0.48,CO,1707254429
249,posse,-14.0931,-46.3694,25.91,67,100,1.5,BR,1707254429
